current_player_score,opponent_score,current_player_deadwood,current_player_num_options,is_current_player_hand_winner,is_current_player_game_winner
61,0,74,8,0.0,1
61,11,57,4,0.0,1
61,15,50,6,1.0,1
71,15,37,3,1.0,1
84,15,71,6,0.0,1
84,25,54,9,0.0,1
84,38,53,5,1.0,1
0,0,69,7,0.0,0
0,17,60,8,0.0,0
0,49,50,4,0.0,0
0,52,51,11,1.0,0
41,52,63,8,1.0,0
44,52,65,7,0.0,0
44,64,73,6,1.0,0
62,64,54,6,1.0,0
67,64,69,4,1.0,0
70,64,60,3,0.0,0
70,65,62,9,1.0,0
80,65,33,3,0.0,0
80,70,45,2,0.0,0
80,95,49,9,0.0,0
0,0,40,2,0.0,0
0,11,72,8,0.0,0
0,12,73,4,0.0,0
0,32,55,7,1.0,0
23,32,74,7,0.0,0
23,46,47,0,1.0,0
33,46,67,9,0.0,0
33,69,70,7,1.0,0
70,69,62,6,0.0,0
70,85,46,4,1.0,0
81,85,60,5,0.0,0
81,89,62,7,0.0,0
0,0,67,4,0.0,0
0,21,70,4,0.0,0
0,32,72,8,1.0,0
4,32,67,5,1.0,0
7,32,51,4,1.0,0
47,32,68,7,0.0,0
47,38,49,6,0.0,0
47,40,81,7,0.0,0
47,50,53,6,0.0,0
47,80,35,4,1.0,0
50,80,42,6,1.0,0
77,80,79,11,1.0,0
89,80,43,2,0.0,0
89,86,52,10,0.0,0
0,0,46,4,0.0,0
0,21,72,8,1.0,0
24,21,66,6,0.0,0
24,24,65,3,0.0,0
24,35,68,9,1.0,0
42,35,59,7,0.0,0
42,47,68,6,1.0,0
45,47,36,7,0.0,0
45,63,81,10,1.0,0
54,63,60,7,1.0,0
65,63,66,8,1.0,0
69,63,58,4,0.0,0
69,89,36,3,0.0,0
0,0,66,9,0.0,0
0,16,56,8,1.0,0
15,16,66,6,0.0,0
15,25,55,10,0.0,0
15,41,52,2,0.0,0
15,76,60,7,1.0,0
21,76,54,3,1.0,0
31,76,50,2,0.0,0
31,93,57,8,1.0,0
40,93,63,4,0.0,0
0,0,71,6,0.0,1
0,5,59,3,0.0,1
0,15,72,10,0.0,1
0,22,73,9,1.0,1
41,22,34,7,0.0,1
41,26,56,5,1.0,1
50,26,66,9,1.0,1
79,26,49,4,1.0,1
87,26,34,5,1.0,1
93,26,71,10,0.0,1
93,36,64,3,0.0,1
93,44,56,5,1.0,1
0,0,63,8,0.0,0
0,4,40,4,0.0,0
0,30,40,4,0.0,0
0,60,44,3,1.0,0
7,60,69,6,0.0,0
7,64,55,3,0.0,0
7,93,72,7,1.0,0
14,93,56,4,0.0,0
0,0,74,10,1.0,0
12,0,47,6,1.0,0
14,0,62,7,1.0,0
44,0,71,11,1.0,0
49,0,36,5,0.0,0
49,12,38,1,0.0,0
49,15,56,10,1.0,0
58,15,67,7,1.0,0
77,15,71,3,1.0,0
83,15,60,7,1.0,0
93,15,77,7,0.0,0
93,77,51,5,0.0,0
0,0,61,7,1.0,0
24,0,83,7,0.0,0
24,5,65,8,0.0,0
24,6,56,8,1.0,0
27,6,63,4,1.0,0
37,6,58,6,0.0,0
37,25,39,2,1.0,0
57,25,57,8,0.0,0
57,29,61,6,0.0,0
57,36,60,7,1.0,0
66,36,64,8,0.0,0
66,62,42,0,0.0,0
66,90,59,6,0.0,0
66,97,58,7,1.0,0
71,97,37,5,1.0,0
73,97,52,8,1.0,0
89,97,42,1,0.0,0
0,0,62,6,0.0,1
0,1,68,11,0.0,1
0,5,75,6,1.0,1
45,5,70,5,0.0,1
45,25,46,7,1.0,1
64,25,42,2,1.0,1
73,25,71,4,0.0,1
73,43,72,6,1.0,1
94,43,59,10,0.0,1
94,58,60,2,0.0,1
94,83,44,4,1.0,1
95,83,52,3,1.0,1
0,0,49,4,1.0,1
22,0,61,5,1.0,1
29,0,83,9,0.0,1
29,22,79,8,1.0,1
72,22,67,4,1.0,1
80,22,53,7,0.0,1
80,40,59,9,1.0,1
90,40,53,1,1.0,1
0,0,68,7,0.0,0
0,28,46,6,1.0,0
1,28,55,6,0.0,0
1,62,69,10,1.0,0
21,62,67,6,0.0,0
21,83,59,5,0.0,0
0,0,43,3,1.0,0
31,0,50,6,1.0,0
38,0,57,7,0.0,0
38,9,68,6,1.0,0
54,9,50,3,0.0,0
54,47,70,4,0.0,0
0,0,58,2,0.0,1
0,10,59,4,0.0,1
0,21,64,8,1.0,1
11,21,42,4,1.0,1
35,21,60,3,1.0,1
42,21,61,4,1.0,1
48,21,57,7,1.0,1
71,21,52,3,0.0,1
71,34,44,2,1.0,1
0,0,33,4,0.0,1
0,15,81,7,1.0,1
9,15,53,2,1.0,1
20,15,45,7,1.0,1
42,15,38,3,0.0,1
